"time","price_area","dayahead_settled","dayahead_predicted","replan","mFRR_CM_down_vol_predicted","prod_downreg","prod_upreg","mFRR_CM_down_vol","mFRR_CM_up_vol","spot_price","reg_price","mFRR_CM_down_price","mFRR_CM_up_price","intraday_vol_buy","intraday_vol_sell","intraday_VWAP_buy","intraday_VWAP_sell"
2025-05-17 21:00:00,NO3,NaN,-0.40485922,NaN,NaN,0.0,0.0,NaN,NaN,6.96,NaN,3.0,2.1,0.0,0.0,0.0,0.0
2025-05-17 20:00:00,NO3,NaN,-0.26790285,NaN,NaN,0.0,0.0,NaN,NaN,5.05,NaN,3.0,2.1,0.0,0.0,0.0,0.0
2025-05-17 19:00:00,NO3,NaN,-1.0267656,NaN,NaN,0.0,0.0,NaN,NaN,5.07,NaN,3.0,2.0,0.0,0.0,0.0,0.0
2025-05-17 18:00:00,NO3,NaN,-3.371863,NaN,NaN,0.0,0.0,NaN,NaN,5.02,NaN,3.0,3.0,0.0,0.0,0.0,0.0
2025-05-17 17:00:00,NO3,NaN,-7.812713,NaN,NaN,0.0,0.0,NaN,NaN,6.45,NaN,3.0,2.0,0.0,0.0,0.0,0.0
2025-05-17 16:00:00,NO3,NaN,-10.354242,NaN,NaN,0.0,0.0,NaN,NaN,10.49,NaN,3.0,2.0,0.0,0.0,0.0,0.0
2025-05-17 15:00:00,NO3,NaN,-13.18768,NaN,NaN,0.0,0.0,NaN,NaN,4.5,NaN,3.0,2.0,0.0,0.0,0.0,0.0
2025-05-17 14:00:00,NO3,NaN,-12.226691,NaN,NaN,0.0,0.0,NaN,NaN,6.7,NaN,3.92,2.0,0.0,0.0,0.0,0.0
2025-05-17 13:00:00,NO3,NaN,-13.198936,NaN,NaN,0.0,0.0,NaN,NaN,7.33,NaN,15.0,3.0,0.0,0.0,0.0,0.0
2025-05-17 12:00:00,NO3,NaN,-12.34913,NaN,NaN,0.0,0.0,NaN,NaN,10.76,NaN,27.0,2.1,0.0,0.0,0.0,0.0
2025-05-17 11:00:00,NO3,NaN,-11.387225,NaN,NaN,0.0,0.0,NaN,NaN,9.83,NaN,23.0,2.0,0.0,0.0,0.0,0.0
2025-05-17 10:00:00,NO3,NaN,-8.764439,12.04,NaN,0.0,0.0,NaN,NaN,10.37,NaN,10.0,2.0,0.0,0.0,0.0,0.0
2025-05-17 09:00:00,NO3,NaN,-5.5739927,7.5,NaN,0.0,0.0,NaN,NaN,12.22,NaN,3.9,2.0,0.0,0.0,0.0,0.0
2025-05-17 08:00:00,NO3,NaN,-4.117624,5.63,NaN,0.0,0.0,NaN,NaN,7.89,NaN,4.0,2.1,0.0,0.0,0.0,0.0
2025-05-17 07:00:00,NO3,NaN,-6.216078,6.6,NaN,0.0,0.0,NaN,NaN,4.88,NaN,3.0,2.0,0.0,0.0,0.0,0.0
2025-05-17 06:00:00,NO3,NaN,-10.010071,8.82,NaN,0.0,0.0,NaN,NaN,6.1,NaN,3.0,2.1,0.0,0.0,0.0,0.0
2025-05-17 05:00:00,NO3,NaN,-14.594071,15.42,NaN,0.0,0.0,NaN,NaN,12.2,NaN,3.0,2.1,0.0,0.0,0.0,0.0
2025-05-17 04:00:00,NO3,NaN,-27.07914,25.84,NaN,0.0,0.0,NaN,NaN,9.71,NaN,6.0,2.0,0.0,0.0,0.0,0.0
2025-05-17 03:00:00,NO3,NaN,-34.82038,39.77,NaN,0.0,0.0,NaN,NaN,7.87,NaN,5.91,2.0,0.0,0.0,0.0,0.0
2025-05-17 02:00:00,NO3,NaN,-45.585552,48.64,NaN,0.0,0.0,NaN,NaN,9.61,NaN,5.92,2.0,0.0,0.0,0.0,0.0
2025-05-17 01:00:00,NO3,NaN,-58.5313,54.52,NaN,0.0,0.0,NaN,NaN,7.74,NaN,5.92,2.0,0.0,0.0,0.0,0.0
2025-05-17 00:00:00,NO3,NaN,-65.03368,59.83,NaN,0.0,0.0,NaN,NaN,9.19,NaN,6.0,2.0,0.0,0.0,0.0,0.0
2025-05-16 23:00:00,NO3,NaN,-70.53244,70.22,NaN,0.0,0.0,NaN,NaN,7.47,NaN,5.92,2.0,0.0,0.0,0.0,0.0
