"time","forecast"," "
2025-01-01 00:00:00,dayahead,0.020820988
2025-01-01 00:00:00,replan,8.671216
2025-01-01 01:00:00,dayahead,0.01968497
2025-01-01 01:00:00,replan,4.068727
2025-01-01 02:00:00,dayahead,0.010242196
2025-01-01 02:00:00,replan,0.9079349
2025-01-01 03:00:00,dayahead,0.06324436
2025-01-01 03:00:00,replan,0.42302978
2025-01-01 04:00:00,dayahead,0.12942192
2025-01-01 04:00:00,replan,0.43812466
2025-01-01 05:00:00,dayahead,0.16654918
2025-01-01 05:00:00,replan,0.6124359
2025-01-01 06:00:00,dayahead,0.36776292
2025-01-01 06:00:00,replan,0.7595088
2025-01-01 07:00:00,dayahead,1.9451702
2025-01-01 07:00:00,replan,3.0888686
2025-01-01 08:00:00,dayahead,3.5973535
2025-01-01 08:00:00,replan,12.65879
2025-01-01 09:00:00,dayahead,4.844795
2025-01-01 09:00:00,replan,8.482458
2025-01-01 10:00:00,dayahead,7.630229
2025-01-01 10:00:00,replan,20.059109
2025-01-01 11:00:00,dayahead,12.13304
2025-01-01 11:00:00,replan,31.720768
2025-01-01 12:00:00,dayahead,15.15368
2025-01-01 12:00:00,replan,41.417892
2025-01-01 13:00:00,dayahead,20.086681
2025-01-01 13:00:00,replan,47.08714
2025-01-01 14:00:00,dayahead,30.864737
2025-01-01 14:00:00,replan,53.17259
2025-01-01 15:00:00,dayahead,35.414036
2025-01-01 15:00:00,replan,61.766685
2025-01-01 16:00:00,dayahead,54.511932
2025-01-01 16:00:00,replan,70.250465
2025-01-01 17:00:00,dayahead,54.300694
2025-01-01 17:00:00,replan,69.15823
2025-01-01 18:00:00,dayahead,60.269466
2025-01-01 18:00:00,replan,70.58884
2025-01-01 19:00:00,dayahead,65.835785
2025-01-01 19:00:00,replan,78.110245
2025-01-01 20:00:00,dayahead,71.524254
2025-01-01 20:00:00,replan,78.17341
2025-01-01 21:00:00,dayahead,80.86126
2025-01-01 21:00:00,replan,85.21572
2025-01-01 22:00:00,dayahead,81.62097
2025-01-01 22:00:00,replan,91.99614
2025-01-01 23:00:00,dayahead,77.122574
2025-01-01 23:00:00,replan,99.134605
2025-01-02 00:00:00,dayahead,70.698135
2025-01-02 00:00:00,replan,93.43503
2025-01-02 01:00:00,dayahead,69.89767
2025-01-02 01:00:00,replan,93.09616
2025-01-02 02:00:00,dayahead,76.86042
2025-01-02 02:00:00,replan,84.27609
2025-01-02 03:00:00,dayahead,77.60687
2025-01-02 03:00:00,replan,100.62139
2025-01-02 04:00:00,dayahead,82.945816
2025-01-02 04:00:00,replan,98.12062
2025-01-02 05:00:00,dayahead,80.69755
2025-01-02 05:00:00,replan,90.60405
2025-01-02 06:00:00,dayahead,81.13034
2025-01-02 06:00:00,replan,86.31441
2025-01-02 07:00:00,dayahead,78.901566
2025-01-02 07:00:00,replan,85.23426
2025-01-02 08:00:00,dayahead,83.297356
