"time","park","series","value"
2025-01-01 00:00:00,klevberget,prod,16.173
2025-01-01 00:00:00,klevberget,measured_avl,134.2
2025-01-01 00:00:00,klevberget,dayahead_reported,-0.0
2025-01-01 01:00:00,klevberget,prod,10.551
2025-01-01 01:00:00,klevberget,measured_avl,134.2
2025-01-01 01:00:00,klevberget,dayahead_reported,-0.0
2025-01-01 02:00:00,klevberget,prod,6.485
2025-01-01 02:00:00,klevberget,measured_avl,134.2
2025-01-01 02:00:00,klevberget,dayahead_reported,-0.0
2025-01-01 03:00:00,klevberget,prod,0.825
2025-01-01 03:00:00,klevberget,measured_avl,134.2
2025-01-01 03:00:00,klevberget,dayahead_reported,0.1
2025-01-01 04:00:00,klevberget,prod,1.127
2025-01-01 04:00:00,klevberget,measured_avl,128.73961
2025-01-01 04:00:00,klevberget,dayahead_reported,0.1
2025-01-01 05:00:00,klevberget,prod,5.852
2025-01-01 05:00:00,klevberget,measured_avl,131.57806
2025-01-01 05:00:00,klevberget,dayahead_reported,0.2
2025-01-01 06:00:00,klevberget,prod,13.431
2025-01-01 06:00:00,klevberget,measured_avl,135.89813
2025-01-01 06:00:00,klevberget,dayahead_reported,0.4
2025-01-01 07:00:00,klevberget,prod,6.657
2025-01-01 07:00:00,klevberget,measured_avl,136.62296
2025-01-01 07:00:00,klevberget,dayahead_reported,2.0
2025-01-01 08:00:00,klevberget,prod,5.941
2025-01-01 08:00:00,klevberget,measured_avl,135.19643
2025-01-01 08:00:00,klevberget,dayahead_reported,3.6
2025-01-01 09:00:00,klevberget,prod,10.615
2025-01-01 09:00:00,klevberget,measured_avl,134.18309
2025-01-01 09:00:00,klevberget,dayahead_reported,4.8
2025-01-01 10:00:00,klevberget,prod,23.875
2025-01-01 10:00:00,klevberget,measured_avl,134.2
2025-01-01 10:00:00,klevberget,dayahead_reported,7.6
2025-01-01 11:00:00,klevberget,prod,32.069
2025-01-01 11:00:00,klevberget,measured_avl,134.2
2025-01-01 11:00:00,klevberget,dayahead_reported,12.1
2025-01-01 12:00:00,klevberget,prod,58.425
2025-01-01 12:00:00,klevberget,measured_avl,134.2191
2025-01-01 12:00:00,klevberget,dayahead_reported,15.2
2025-01-01 13:00:00,klevberget,prod,43.708
2025-01-01 13:00:00,klevberget,measured_avl,136.45157
2025-01-01 13:00:00,klevberget,dayahead_reported,20.1
2025-01-01 14:00:00,klevberget,prod,68.086
