"time","forecast"," "
2025-01-01 00:00:00,dayahead,60.304462
2025-01-01 00:00:00,replan,61.385456
2025-01-01 01:00:00,dayahead,61.80055
2025-01-01 01:00:00,replan,60.633556
2025-01-01 02:00:00,dayahead,64.76211
2025-01-01 02:00:00,replan,57.11707
2025-01-01 03:00:00,dayahead,52.120728
2025-01-01 03:00:00,replan,67.65887
2025-01-01 04:00:00,dayahead,42.561
2025-01-01 04:00:00,replan,71.42011
2025-01-01 05:00:00,dayahead,41.74243
2025-01-01 05:00:00,replan,68.2316
2025-01-01 06:00:00,dayahead,38.816128
2025-01-01 06:00:00,replan,48.11146
2025-01-01 07:00:00,dayahead,39.314774
2025-01-01 07:00:00,replan,39.016933
2025-01-01 08:00:00,dayahead,40.0227
2025-01-01 08:00:00,replan,42.760426
2025-01-01 09:00:00,dayahead,36.37476
2025-01-01 09:00:00,replan,42.19471
2025-01-01 10:00:00,dayahead,35.801468
2025-01-01 10:00:00,replan,41.7735
2025-01-01 11:00:00,dayahead,36.20615
2025-01-01 11:00:00,replan,35.576275
2025-01-01 12:00:00,dayahead,37.45529
2025-01-01 12:00:00,replan,31.132633
2025-01-01 13:00:00,dayahead,40.09052
2025-01-01 13:00:00,replan,33.6418
2025-01-01 14:00:00,dayahead,40.041355
2025-01-01 14:00:00,replan,32.843864
2025-01-01 15:00:00,dayahead,40.641537
2025-01-01 15:00:00,replan,30.23116
2025-01-01 16:00:00,dayahead,40.1156
2025-01-01 16:00:00,replan,31.760199
2025-01-01 17:00:00,dayahead,38.979164
2025-01-01 17:00:00,replan,28.018103
2025-01-01 18:00:00,dayahead,42.80681
2025-01-01 18:00:00,replan,27.087116
2025-01-01 19:00:00,dayahead,49.463497
2025-01-01 19:00:00,replan,35.07307
2025-01-01 20:00:00,dayahead,52.82697
2025-01-01 20:00:00,replan,43.254505
2025-01-01 21:00:00,dayahead,56.942905
2025-01-01 21:00:00,replan,53.48824
2025-01-01 22:00:00,dayahead,57.723618
2025-01-01 22:00:00,replan,52.303303
2025-01-01 23:00:00,dayahead,53.47211
2025-01-01 23:00:00,replan,50.59135
2025-01-02 00:00:00,dayahead,55.679432
2025-01-02 00:00:00,replan,55.845036
2025-01-02 01:00:00,dayahead,60.9677
2025-01-02 01:00:00,replan,53.906128
2025-01-02 02:00:00,dayahead,62.887894
2025-01-02 02:00:00,replan,48.218605
2025-01-02 03:00:00,dayahead,60.59468
2025-01-02 03:00:00,replan,45.24173
2025-01-02 04:00:00,dayahead,67.93224
2025-01-02 04:00:00,replan,59.74279
2025-01-02 05:00:00,dayahead,70.3892
2025-01-02 05:00:00,replan,69.91611
2025-01-02 06:00:00,dayahead,61.154507
2025-01-02 06:00:00,replan,74.76046
2025-01-02 07:00:00,dayahead,51.108868
2025-01-02 07:00:00,replan,82.20036
2025-01-02 08:00:00,dayahead,62.44326
2025-01-02 08:00:00,replan,90.33962
2025-01-02 09:00:00,dayahead,78.41131
2025-01-02 09:00:00,replan,93.10821
2025-01-02 10:00:00,dayahead,87.826065
2025-01-02 10:00:00,replan,93.02412
2025-01-02 11:00:00,dayahead,86.001045
2025-01-02 11:00:00,replan,82.35292
2025-01-02 12:00:00,dayahead,86.7123
2025-01-02 12:00:00,replan,74.20518
2025-01-02 13:00:00,dayahead,89.27837
2025-01-02 13:00:00,replan,66.908554
2025-01-02 14:00:00,dayahead,91.31546
2025-01-02 14:00:00,replan,66.21248
2025-01-02 15:00:00,dayahead,89.48756
2025-01-02 15:00:00,replan,72.556725
2025-01-02 16:00:00,dayahead,85.32764
2025-01-02 17:00:00,dayahead,85.23841
2025-01-02 17:00:00,replan,73.40414
2025-01-02 18:00:00,dayahead,82.12932
2025-01-02 18:00:00,replan,73.800896
2025-01-02 19:00:00,dayahead,84.21243
2025-01-02 19:00:00,replan,76.34048
2025-01-02 20:00:00,dayahead,81.143715
2025-01-02 20:00:00,replan,68.81353
2025-01-02 21:00:00,dayahead,78.84731
2025-01-02 21:00:00,replan,67.35758
2025-01-02 22:00:00,dayahead,79.05422
2025-01-02 22:00:00,replan,67.022095
2025-01-02 23:00:00,dayahead,86.39385
2025-01-02 23:00:00,replan,71.71534
2025-01-03 00:00:00,dayahead,88.056496
2025-01-03 00:00:00,replan,68.9955
2025-01-03 01:00:00,dayahead,78.96222
2025-01-03 01:00:00,replan,72.396576
2025-01-03 02:00:00,dayahead,77.12145
2025-01-03 02:00:00,replan,63.250072
2025-01-03 03:00:00,dayahead,76.85706
2025-01-03 03:00:00,replan,58.29072
2025-01-03 04:00:00,dayahead,70.057915
2025-01-03 04:00:00,replan,51.770767
2025-01-03 05:00:00,dayahead,47.90697
2025-01-03 05:00:00,replan,34.25172
2025-01-03 06:00:00,dayahead,30.532196
2025-01-03 06:00:00,replan,18.141418
2025-01-03 07:00:00,dayahead,18.354826
2025-01-03 07:00:00,replan,8.851915
2025-01-03 08:00:00,dayahead,22.42153
2025-01-03 08:00:00,replan,3.4165354
2025-01-03 09:00:00,dayahead,23.253166
2025-01-03 09:00:00,replan,3.2222025
2025-01-03 10:00:00,dayahead,28.574846
2025-01-03 10:00:00,replan,0.9876351
2025-01-03 11:00:00,dayahead,39.740845
2025-01-03 11:00:00,replan,3.8141394
2025-01-03 12:00:00,dayahead,44.510258
2025-01-03 12:00:00,replan,12.66838
2025-01-03 13:00:00,dayahead,50.814087
2025-01-03 13:00:00,replan,29.453077
2025-01-03 14:00:00,dayahead,61.049534
2025-01-03 14:00:00,replan,52.06616
2025-01-03 15:00:00,dayahead,58.15361
2025-01-03 15:00:00,replan,68.4339
2025-01-03 16:00:00,dayahead,69.74432
2025-01-03 16:00:00,replan,65.58186
2025-01-03 17:00:00,dayahead,73.965164
2025-01-03 17:00:00,replan,76.1839
2025-01-03 18:00:00,dayahead,64.9239
2025-01-03 18:00:00,replan,91.89854
2025-01-03 19:00:00,dayahead,49.330376
2025-01-03 19:00:00,replan,92.1472
2025-01-03 20:00:00,dayahead,51.460205
2025-01-03 20:00:00,replan,93.86431
2025-01-03 21:00:00,dayahead,47.59643
2025-01-03 21:00:00,replan,85.046776
2025-01-03 22:00:00,dayahead,53.78504
2025-01-03 22:00:00,replan,81.84561
2025-01-03 23:00:00,dayahead,74.37958
2025-01-03 23:00:00,replan,89.24039
2025-01-04 00:00:00,dayahead,92.217766
2025-01-04 00:00:00,replan,93.6985
2025-01-04 01:00:00,dayahead,98.48898
2025-01-04 01:00:00,replan,103.186676
2025-01-04 02:00:00,dayahead,100.20039
2025-01-04 02:00:00,replan,104.60146
2025-01-04 03:00:00,dayahead,99.26359
2025-01-04 03:00:00,replan,105.59296
2025-01-04 04:00:00,dayahead,100.25365
2025-01-04 04:00:00,replan,106.50184
2025-01-04 05:00:00,dayahead,97.526024
2025-01-04 05:00:00,replan,102.56286
2025-01-04 06:00:00,dayahead,92.72539
2025-01-04 06:00:00,replan,102.622925
2025-01-04 07:00:00,dayahead,91.54036
2025-01-04 07:00:00,replan,99.89226
2025-01-04 08:00:00,dayahead,86.31674
2025-01-04 08:00:00,replan,92.36232
2025-01-04 09:00:00,dayahead,80.537224
2025-01-04 09:00:00,replan,89.36781
2025-01-04 10:00:00,dayahead,75.62548
2025-01-04 10:00:00,replan,84.14813
2025-01-04 11:00:00,dayahead,70.61193
2025-01-04 11:00:00,replan,79.98495
