"time","park","series","value"
2025-01-01 00:00:00,målarberget,wd_measured,60.482437
2025-01-01 00:00:00,målarberget,measured_avl,98.9
2025-01-01 00:00:00,målarberget,prod,54.06
2025-01-01 00:00:00,målarberget,ws_measured,8.090395
2025-01-01 00:00:00,målarberget,dayahead_reported,60.3
2025-01-01 01:00:00,målarberget,wd_measured,53.398804
2025-01-01 01:00:00,målarberget,measured_avl,98.9
2025-01-01 01:00:00,målarberget,prod,46.856
2025-01-01 01:00:00,målarberget,ws_measured,7.6804347
2025-01-01 01:00:00,målarberget,dayahead_reported,61.8
2025-01-01 02:00:00,målarberget,measured_avl,98.9
2025-01-01 02:00:00,målarberget,wd_measured,45.760906
2025-01-01 02:00:00,målarberget,prod,45.904
2025-01-01 02:00:00,målarberget,ws_measured,7.6530457
2025-01-01 02:00:00,målarberget,dayahead_reported,64.8
2025-01-01 03:00:00,målarberget,wd_measured,31.761919
2025-01-01 03:00:00,målarberget,measured_avl,98.9
2025-01-01 03:00:00,målarberget,prod,44.376
2025-01-01 03:00:00,målarberget,ws_measured,7.364284
2025-01-01 03:00:00,målarberget,dayahead_reported,52.1
2025-01-01 04:00:00,målarberget,measured_avl,98.9
2025-01-01 04:00:00,målarberget,wd_measured,28.124157
2025-01-01 04:00:00,målarberget,prod,37.704
2025-01-01 04:00:00,målarberget,ws_measured,7.2338257
2025-01-01 04:00:00,målarberget,dayahead_reported,42.6
2025-01-01 05:00:00,målarberget,wd_measured,20.271452
2025-01-01 05:00:00,målarberget,measured_avl,98.9
2025-01-01 05:00:00,målarberget,prod,28.508
2025-01-01 05:00:00,målarberget,ws_measured,6.5567946
2025-01-01 05:00:00,målarberget,dayahead_reported,41.7
2025-01-01 06:00:00,målarberget,measured_avl,98.9
2025-01-01 06:00:00,målarberget,wd_measured,17.859653
2025-01-01 06:00:00,målarberget,prod,31.272
2025-01-01 06:00:00,målarberget,ws_measured,6.856876
2025-01-01 06:00:00,målarberget,dayahead_reported,38.8
2025-01-01 07:00:00,målarberget,wd_measured,12.966335
2025-01-01 07:00:00,målarberget,measured_avl,98.9
2025-01-01 07:00:00,målarberget,prod,30.348
2025-01-01 07:00:00,målarberget,ws_measured,6.6775537
2025-01-01 07:00:00,målarberget,dayahead_reported,39.3
2025-01-01 08:00:00,målarberget,measured_avl,100.261665
2025-01-01 08:00:00,målarberget,wd_measured,9.011226
2025-01-01 08:00:00,målarberget,prod,33.852
2025-01-01 08:00:00,målarberget,ws_measured,7.042614
2025-01-01 08:00:00,målarberget,dayahead_reported,40.0
2025-01-01 09:00:00,målarberget,measured_avl,103.845
2025-01-01 09:00:00,målarberget,wd_measured,3.427542
2025-01-01 09:00:00,målarberget,prod,44.824
2025-01-01 09:00:00,målarberget,ws_measured,7.3956656
2025-01-01 09:00:00,målarberget,dayahead_reported,36.4
2025-01-01 10:00:00,målarberget,wd_measured,0.6051646
2025-01-01 10:00:00,målarberget,prod,56.2896
2025-01-01 10:00:00,målarberget,ws_measured,8.049922
2025-01-01 10:00:00,målarberget,measured_avl,107.5
2025-01-01 10:00:00,målarberget,dayahead_reported,35.8
2025-01-01 11:00:00,målarberget,wd_measured,3.5108027
2025-01-01 11:00:00,målarberget,prod,48.804
2025-01-01 11:00:00,målarberget,ws_measured,7.6165123
2025-01-01 11:00:00,målarberget,measured_avl,107.5
2025-01-01 11:00:00,målarberget,dayahead_reported,36.2
2025-01-01 12:00:00,målarberget,measured_avl,107.42834
2025-01-01 12:00:00,målarberget,wd_measured,12.331778
2025-01-01 12:00:00,målarberget,prod,33.46
2025-01-01 12:00:00,målarberget,ws_measured,6.788844
