"time","area","value"
"2025-01-01 00:00:00.000 +0000",NO3,2.0
"2025-01-01 00:00:00.000 +0000",SE2,2.0
"2025-01-01 00:00:00.000 +0000",SE3,2.0
"2025-01-01 01:00:00.000 +0000",NO3,2.0
"2025-01-01 01:00:00.000 +0000",SE2,2.0
"2025-01-01 01:00:00.000 +0000",SE3,2.0
"2025-01-01 02:00:00.000 +0000",NO3,3.0
"2025-01-01 02:00:00.000 +0000",SE2,3.0
"2025-01-01 02:00:00.000 +0000",SE3,1.98
"2025-01-01 03:00:00.000 +0000",NO3,3.0
"2025-01-01 03:00:00.000 +0000",SE2,3.0
"2025-01-01 03:00:00.000 +0000",SE3,1.79
"2025-01-01 04:00:00.000 +0000",NO3,11.04
"2025-01-01 04:00:00.000 +0000",SE2,3.68
"2025-01-01 04:00:00.000 +0000",SE3,2.71
"2025-01-01 05:00:00.000 +0000",NO3,2.0
"2025-01-01 05:00:00.000 +0000",SE2,2.0
"2025-01-01 05:00:00.000 +0000",SE3,1.78
"2025-01-01 06:00:00.000 +0000",NO3,-1.98
"2025-01-01 06:00:00.000 +0000",SE2,-1.98
"2025-01-01 06:00:00.000 +0000",SE3,-1.98
"2025-01-01 07:00:00.000 +0000",NO3,-1.0
"2025-01-01 07:00:00.000 +0000",SE2,-1.0
"2025-01-01 07:00:00.000 +0000",SE3,-1.0
"2025-01-01 08:00:00.000 +0000",NO3,0.0
"2025-01-01 08:00:00.000 +0000",SE2,0.0
"2025-01-01 08:00:00.000 +0000",SE3,0.0
"2025-01-01 09:00:00.000 +0000",NO3,-2.0
"2025-01-01 09:00:00.000 +0000",SE2,-2.0
"2025-01-01 09:00:00.000 +0000",SE3,-2.0
"2025-01-01 10:00:00.000 +0000",NO3,-1.0
"2025-01-01 10:00:00.000 +0000",SE2,-1.0
"2025-01-01 10:00:00.000 +0000",SE3,-1.0
"2025-01-01 11:00:00.000 +0000",NO3,2.0
"2025-01-01 11:00:00.000 +0000",SE2,2.0
"2025-01-01 11:00:00.000 +0000",SE3,2.0
"2025-01-01 12:00:00.000 +0000",NO3,15.96
"2025-01-01 12:00:00.000 +0000",SE2,5.94
"2025-01-01 12:00:00.000 +0000",SE3,4.5
"2025-01-01 13:00:00.000 +0000",SE2,4.5
"2025-01-01 13:00:00.000 +0000",SE3,4.5
"2025-01-01 13:00:00.000 +0000",NO3,4.5
"2025-01-01 14:00:00.000 +0000",NO3,4.5
"2025-01-01 14:00:00.000 +0000",SE2,4.5
"2025-01-01 14:00:00.000 +0000",SE3,4.5
"2025-01-01 15:00:00.000 +0000",NO3,15.01
"2025-01-01 15:00:00.000 +0000",SE2,-2.0
"2025-01-01 15:00:00.000 +0000",SE3,-2.0
"2025-01-01 16:00:00.000 +0000",NO3,10.84
"2025-01-01 16:00:00.000 +0000",SE2,-4.83
"2025-01-01 16:00:00.000 +0000",SE3,-4.83
"2025-01-01 17:00:00.000 +0000",NO3,9.92
"2025-01-01 17:00:00.000 +0000",SE2,-3.62
"2025-01-01 17:00:00.000 +0000",SE3,-3.62
"2025-01-01 18:00:00.000 +0000",NO3,9.76
"2025-01-01 18:00:00.000 +0000",SE2,-3.62
"2025-01-01 18:00:00.000 +0000",SE3,-3.62
"2025-01-01 19:00:00.000 +0000",NO3,9.89
"2025-01-01 19:00:00.000 +0000",SE2,-3.57
"2025-01-01 19:00:00.000 +0000",SE3,-3.57
"2025-01-01 20:00:00.000 +0000",NO3,9.9
"2025-01-01 20:00:00.000 +0000",SE2,-6.85
"2025-01-01 20:00:00.000 +0000",SE3,-6.85
"2025-01-01 21:00:00.000 +0000",NO3,8.1
"2025-01-01 21:00:00.000 +0000",SE2,-5.0
"2025-01-01 21:00:00.000 +0000",SE3,-5.0
"2025-01-01 22:00:00.000 +0000",NO3,8.29
"2025-01-01 22:00:00.000 +0000",SE2,-2.0
"2025-01-01 22:00:00.000 +0000",SE3,-2.0
"2025-01-01 23:00:00.000 +0000",NO3,14.85
"2025-01-01 23:00:00.000 +0000",SE2,-2.0
"2025-01-01 23:00:00.000 +0000",SE3,-2.0
"2025-01-02 00:00:00.000 +0000",NO3,14.39
"2025-01-02 00:00:00.000 +0000",SE2,1.0
"2025-01-02 00:00:00.000 +0000",SE3,1.0
"2025-01-02 01:00:00.000 +0000",NO3,12.61
"2025-01-02 01:00:00.000 +0000",SE2,1.0
"2025-01-02 01:00:00.000 +0000",SE3,1.0
"2025-01-02 02:00:00.000 +0000",SE2,-7.91
"2025-01-02 02:00:00.000 +0000",NO3,9.24
"2025-01-02 02:00:00.000 +0000",SE3,-7.91
"2025-01-02 03:00:00.000 +0000",NO3,9.33
"2025-01-02 03:00:00.000 +0000",SE2,-7.91
"2025-01-02 03:00:00.000 +0000",SE3,-7.91
"2025-01-02 04:00:00.000 +0000",NO3,10.51
"2025-01-02 04:00:00.000 +0000",SE2,-2.52
"2025-01-02 04:00:00.000 +0000",SE3,-2.52
"2025-01-02 05:00:00.000 +0000",NO3,10.84
"2025-01-02 05:00:00.000 +0000",SE2,1.0
"2025-01-02 05:00:00.000 +0000",SE3,1.0
"2025-01-02 06:00:00.000 +0000",NO3,13.59
"2025-01-02 06:00:00.000 +0000",SE2,1.0
"2025-01-02 06:00:00.000 +0000",SE3,93.98
"2025-01-02 07:00:00.000 +0000",NO3,10.89
"2025-01-02 07:00:00.000 +0000",SE2,-1.0
"2025-01-02 07:00:00.000 +0000",SE3,118.65
"2025-01-02 08:00:00.000 +0000",NO3,10.67
"2025-01-02 08:00:00.000 +0000",SE2,-6.46
"2025-01-02 08:00:00.000 +0000",SE3,124.76
"2025-01-02 09:00:00.000 +0000",NO3,10.33
"2025-01-02 09:00:00.000 +0000",SE2,-5.52
"2025-01-02 09:00:00.000 +0000",SE3,123.35
"2025-01-02 10:00:00.000 +0000",NO3,9.73
"2025-01-02 10:00:00.000 +0000",SE2,-1.0
"2025-01-02 10:00:00.000 +0000",SE3,110.5
"2025-01-02 11:00:00.000 +0000",NO3,10.47
"2025-01-02 11:00:00.000 +0000",SE2,-5.0
"2025-01-02 11:00:00.000 +0000",SE3,100.84
"2025-01-02 12:00:00.000 +0000",NO3,10.66
"2025-01-02 12:00:00.000 +0000",SE2,-7.0
"2025-01-02 12:00:00.000 +0000",SE3,106.1
"2025-01-02 13:00:00.000 +0000",NO3,12.9
"2025-01-02 13:00:00.000 +0000",SE2,-7.0
"2025-01-02 13:00:00.000 +0000",SE3,112.56
"2025-01-02 14:00:00.000 +0000",NO3,16.3
"2025-01-02 14:00:00.000 +0000",SE2,-6.52
"2025-01-02 14:00:00.000 +0000",SE3,127.82
"2025-01-02 15:00:00.000 +0000",NO3,15.31
"2025-01-02 15:00:00.000 +0000",SE2,-6.0
"2025-01-02 15:00:00.000 +0000",SE3,135.32
"2025-01-02 16:00:00.000 +0000",NO3,14.88
"2025-01-02 16:00:00.000 +0000",SE2,-3.0
"2025-01-02 16:00:00.000 +0000",SE3,150.01
"2025-01-02 17:00:00.000 +0000",NO3,16.06
"2025-01-02 17:00:00.000 +0000",SE2,0.0
"2025-01-02 17:00:00.000 +0000",SE3,147.02
"2025-01-02 18:00:00.000 +0000",NO3,16.29
"2025-01-02 18:00:00.000 +0000",SE2,0.0
"2025-01-02 18:00:00.000 +0000",SE3,108.33
"2025-01-02 19:00:00.000 +0000",NO3,15.95
"2025-01-02 19:00:00.000 +0000",SE2,0.0
"2025-01-02 19:00:00.000 +0000",SE3,103.54
"2025-01-02 20:00:00.000 +0000",NO3,19.99
"2025-01-02 20:00:00.000 +0000",SE2,0.0
"2025-01-02 20:00:00.000 +0000",SE3,76.35
"2025-01-02 21:00:00.000 +0000",SE2,0.0
"2025-01-02 21:00:00.000 +0000",NO3,10.48
"2025-01-02 21:00:00.000 +0000",SE3,61.86
"2025-01-02 22:00:00.000 +0000",NO3,9.64
"2025-01-02 22:00:00.000 +0000",SE2,1.0
"2025-01-02 22:00:00.000 +0000",SE3,49.16
"2025-01-02 23:00:00.000 +0000",NO3,9.56
"2025-01-02 23:00:00.000 +0000",SE2,0.5
