"time","forecast"," "
2025-01-01 00:00:00,dayahead,0.02690278
2025-01-01 00:00:00,replan,1.593149
2025-01-01 01:00:00,dayahead,0.046294235
2025-01-01 01:00:00,replan,0.0
2025-01-01 02:00:00,dayahead,0.17285234
2025-01-01 02:00:00,replan,0.008698515
2025-01-01 03:00:00,dayahead,0.3899622
2025-01-01 03:00:00,replan,0.0035614038
2025-01-01 04:00:00,dayahead,0.39266953
2025-01-01 04:00:00,replan,0.004505159
2025-01-01 05:00:00,dayahead,0.72855186
2025-01-01 05:00:00,replan,0.023290766
2025-01-01 06:00:00,dayahead,3.3240938
2025-01-01 06:00:00,replan,0.110755965
2025-01-01 07:00:00,dayahead,22.191841
2025-01-01 07:00:00,replan,1.5569397
2025-01-01 08:00:00,dayahead,29.678978
2025-01-01 08:00:00,replan,2.4971914
2025-01-01 09:00:00,dayahead,48.229233
2025-01-01 09:00:00,replan,3.7548516
2025-01-01 10:00:00,dayahead,9.990113
2025-01-01 10:00:00,replan,8.365286
2025-01-01 11:00:00,dayahead,0.42508793
2025-01-01 11:00:00,replan,16.367224
2025-01-01 12:00:00,dayahead,0.17744206
2025-01-01 12:00:00,replan,17.878881
2025-01-01 13:00:00,dayahead,0.33043164
2025-01-01 13:00:00,replan,25.640535
2025-01-01 14:00:00,dayahead,2.4202323
2025-01-01 14:00:00,replan,28.443596
2025-01-01 15:00:00,dayahead,3.1722825
2025-01-01 15:00:00,replan,5.7010107
2025-01-01 16:00:00,dayahead,5.6994014
2025-01-01 16:00:00,replan,7.86192
2025-01-01 17:00:00,dayahead,5.2699437
2025-01-01 17:00:00,replan,10.912785
2025-01-01 18:00:00,dayahead,8.016492
2025-01-01 18:00:00,replan,21.548147
2025-01-01 19:00:00,dayahead,4.6412077
2025-01-01 19:00:00,replan,17.384922
2025-01-01 20:00:00,dayahead,7.5192623
2025-01-01 20:00:00,replan,47.583057
2025-01-01 21:00:00,dayahead,10.303332
2025-01-01 21:00:00,replan,79.2473
2025-01-01 22:00:00,dayahead,11.071771
2025-01-01 22:00:00,replan,94.18664
2025-01-01 23:00:00,dayahead,85.79218
2025-01-01 23:00:00,replan,110.64994
2025-01-02 00:00:00,dayahead,116.79584
2025-01-02 00:00:00,replan,186.53168
2025-01-02 01:00:00,dayahead,133.1164
2025-01-02 01:00:00,replan,148.13477
2025-01-02 02:00:00,dayahead,135.83981
2025-01-02 02:00:00,replan,187.98439
2025-01-02 03:00:00,dayahead,93.2707
2025-01-02 03:00:00,replan,222.95242
2025-01-02 04:00:00,dayahead,117.65075
