"time","park","series","value"
2025-01-01 00:00:00,roan,measured_avl,248.4
2025-01-01 00:00:00,roan,prod,-0.409
2025-01-01 00:00:00,roan,dayahead_reported,0.16666667
2025-01-01 00:00:00,roan,prod_downreg,-0.0
2025-01-01 01:00:00,roan,measured_avl,247.41774
2025-01-01 01:00:00,roan,prod,0.0
2025-01-01 01:00:00,roan,dayahead_reported,-0.0
2025-01-01 01:00:00,roan,prod_downreg,-0.0
2025-01-01 02:00:00,roan,measured_avl,233.44426
2025-01-01 02:00:00,roan,prod,0.0
2025-01-01 02:00:00,roan,dayahead_reported,0.16666667
2025-01-01 02:00:00,roan,prod_downreg,-0.0
2025-01-01 03:00:00,roan,measured_avl,245.52408
2025-01-01 03:00:00,roan,prod,0.0
2025-01-01 03:00:00,roan,dayahead_reported,0.33333334
2025-01-01 03:00:00,roan,prod_downreg,-0.0
2025-01-01 04:00:00,roan,measured_avl,240.08508
2025-01-01 04:00:00,roan,prod,-1.819
2025-01-01 04:00:00,roan,dayahead_reported,0.5
2025-01-01 04:00:00,roan,prod_downreg,-0.0
2025-01-01 05:00:00,roan,measured_avl,245.61087
2025-01-01 05:00:00,roan,prod,-0.024
2025-01-01 05:00:00,roan,dayahead_reported,0.6666667
2025-01-01 05:00:00,roan,prod_downreg,-0.0
2025-01-01 06:00:00,roan,measured_avl,248.76486
2025-01-01 06:00:00,roan,prod,1.016
2025-01-01 06:00:00,roan,dayahead_reported,3.3333333
2025-01-01 06:00:00,roan,prod_downreg,-0.0
2025-01-01 07:00:00,roan,measured_avl,247.65302
2025-01-01 07:00:00,roan,prod,0.0
2025-01-01 07:00:00,roan,dayahead_reported,22.166666
2025-01-01 07:00:00,roan,prod_downreg,-0.0
2025-01-01 08:00:00,roan,measured_avl,247.90501
2025-01-01 08:00:00,roan,prod,1.334
2025-01-01 08:00:00,roan,dayahead_reported,29.666666
2025-01-01 08:00:00,roan,prod_downreg,-0.0
2025-01-01 09:00:00,roan,measured_avl,248.4
2025-01-01 09:00:00,roan,prod,7.542
2025-01-01 09:00:00,roan,dayahead_reported,48.166668
2025-01-01 09:00:00,roan,prod_downreg,-0.0
2025-01-01 10:00:00,roan,prod_downreg,1.25
2025-01-01 10:00:00,roan,measured_avl,85.297104
2025-01-01 10:00:00,roan,prod,9.763
2025-01-01 10:00:00,roan,dayahead_reported,10.0
2025-01-01 11:00:00,roan,measured_avl,241.2
2025-01-01 11:00:00,roan,prod,47.984
2025-01-01 11:00:00,roan,prod_downreg,-0.0
2025-01-01 11:00:00,roan,dayahead_reported,0.5
2025-01-01 12:00:00,roan,measured_avl,241.2
2025-01-01 12:00:00,roan,prod,46.488
2025-01-01 12:00:00,roan,dayahead_reported,0.16666667
2025-01-01 12:00:00,roan,prod_downreg,-0.0
2025-01-01 13:00:00,roan,measured_avl,241.2
2025-01-01 13:00:00,roan,prod,11.422
2025-01-01 13:00:00,roan,dayahead_reported,0.33333334
2025-01-01 13:00:00,roan,prod_downreg,-0.0
2025-01-01 14:00:00,roan,measured_avl,247.13712
2025-01-01 14:00:00,roan,prod,2.379
2025-01-01 14:00:00,roan,dayahead_reported,2.5
2025-01-01 14:00:00,roan,prod_downreg,-0.0
2025-01-01 15:00:00,roan,measured_avl,245.77199
2025-01-01 15:00:00,roan,prod,1.233
2025-01-01 15:00:00,roan,dayahead_reported,3.1666667
2025-01-01 15:00:00,roan,prod_downreg,-0.0
2025-01-01 16:00:00,roan,measured_avl,248.4
2025-01-01 16:00:00,roan,prod,10.695
2025-01-01 16:00:00,roan,dayahead_reported,5.6666665
2025-01-01 16:00:00,roan,prod_downreg,-0.0
2025-01-01 17:00:00,roan,measured_avl,248.4
2025-01-01 17:00:00,roan,prod,23.229
2025-01-01 17:00:00,roan,dayahead_reported,5.1666665
