time,park,forecast, 
2025-01-01 00:00:00,frøya,dayahead,5.6368747
2025-01-01 00:00:00,frøya,replan,8.602181
2025-01-01 01:00:00,frøya,dayahead,5.478806
2025-01-01 01:00:00,frøya,replan,8.143482
2025-01-01 02:00:00,frøya,dayahead,3.3734043
2025-01-01 02:00:00,frøya,replan,4.2767615
2025-01-01 03:00:00,frøya,dayahead,2.855842
2025-01-01 03:00:00,frøya,replan,1.8828703
2025-01-01 04:00:00,frøya,dayahead,1.7204974
2025-01-01 04:00:00,frøya,replan,0.9105869
2025-01-01 05:00:00,frøya,dayahead,0.5033556
2025-01-01 05:00:00,frøya,replan,0.5439182
2025-01-01 06:00:00,frøya,dayahead,0.14032693
2025-01-01 06:00:00,frøya,replan,0.4988212
2025-01-01 07:00:00,frøya,dayahead,0.38073578
2025-01-01 07:00:00,frøya,replan,0.3761826
2025-01-01 08:00:00,frøya,dayahead,1.0007808
2025-01-01 08:00:00,frøya,replan,0.03576712
2025-01-01 09:00:00,frøya,dayahead,7.377215
2025-01-01 09:00:00,frøya,replan,0.25436676
2025-01-01 10:00:00,frøya,dayahead,13.729165
2025-01-01 10:00:00,frøya,replan,0.31169802
2025-01-01 11:00:00,frøya,dayahead,12.549884
2025-01-01 11:00:00,frøya,replan,1.9215921
2025-01-01 12:00:00,frøya,dayahead,10.5056
2025-01-01 12:00:00,frøya,replan,5.5719247
2025-01-01 13:00:00,frøya,dayahead,14.501339
2025-01-01 13:00:00,frøya,replan,9.583717
2025-01-01 14:00:00,frøya,dayahead,32.02767
2025-01-01 14:00:00,frøya,replan,10.411842
2025-01-01 15:00:00,frøya,dayahead,27.684677
2025-01-01 15:00:00,frøya,replan,9.504899
2025-01-01 16:00:00,frøya,dayahead,26.177761
2025-01-01 16:00:00,frøya,replan,12.876238
2025-01-01 17:00:00,frøya,dayahead,27.591469
2025-01-01 17:00:00,frøya,replan,11.197204
2025-01-01 18:00:00,frøya,dayahead,34.24052
2025-01-01 18:00:00,frøya,replan,8.375411
2025-01-01 19:00:00,frøya,dayahead,26.935867
2025-01-01 19:00:00,frøya,replan,8.68762
2025-01-01 20:00:00,frøya,dayahead,32.671677
2025-01-01 20:00:00,frøya,replan,19.509632
2025-01-01 21:00:00,frøya,dayahead,36.00384
2025-01-01 21:00:00,frøya,replan,27.480354
2025-01-01 22:00:00,frøya,dayahead,43.548046
2025-01-01 22:00:00,frøya,replan,33.453617
2025-01-01 23:00:00,frøya,dayahead,40.217007
2025-01-01 23:00:00,frøya,replan,42.56684
2025-01-02 00:00:00,frøya,dayahead,41.783337
2025-01-02 00:00:00,frøya,replan,52.903378
2025-01-02 01:00:00,frøya,dayahead,47.4152
2025-01-02 01:00:00,frøya,replan,54.302525
2025-01-02 02:00:00,frøya,dayahead,53.460693
2025-01-02 02:00:00,frøya,replan,54.42411
2025-01-02 03:00:00,frøya,dayahead,54.896114
2025-01-02 03:00:00,frøya,replan,54.86795
