time,park,series,value
2025-01-01 00:00:00,frøya,measured_avl,58.8
2025-01-01 00:00:00,frøya,prod,2.671
2025-01-01 00:00:00,frøya,dayahead_reported,5.5
2025-01-01 01:00:00,frøya,measured_avl,58.8
2025-01-01 01:00:00,frøya,prod,0.845
2025-01-01 01:00:00,frøya,dayahead_reported,5.4
2025-01-01 02:00:00,frøya,measured_avl,58.8
2025-01-01 02:00:00,frøya,prod,0.248
2025-01-01 02:00:00,frøya,dayahead_reported,3.3
2025-01-01 03:00:00,frøya,measured_avl,58.8
2025-01-01 03:00:00,frøya,prod,0.961
2025-01-01 03:00:00,frøya,dayahead_reported,2.8
2025-01-01 04:00:00,frøya,measured_avl,58.8
2025-01-01 04:00:00,frøya,prod,1.439
2025-01-01 04:00:00,frøya,dayahead_reported,1.7
2025-01-01 05:00:00,frøya,measured_avl,58.8
2025-01-01 05:00:00,frøya,prod,1.179
2025-01-01 05:00:00,frøya,dayahead_reported,0.5
2025-01-01 06:00:00,frøya,measured_avl,58.8
2025-01-01 06:00:00,frøya,prod,-0.147
2025-01-01 06:00:00,frøya,dayahead_reported,0.1
2025-01-01 07:00:00,frøya,measured_avl,58.8
2025-01-01 07:00:00,frøya,prod,-0.362
2025-01-01 07:00:00,frøya,dayahead_reported,0.4
2025-01-01 08:00:00,frøya,measured_avl,58.8
2025-01-01 08:00:00,frøya,prod,-0.359
2025-01-01 08:00:00,frøya,dayahead_reported,1.0
2025-01-01 09:00:00,frøya,measured_avl,58.8
2025-01-01 09:00:00,frøya,prod,-0.425
2025-01-01 09:00:00,frøya,dayahead_reported,7.2
2025-01-01 10:00:00,frøya,measured_avl,51.23595
2025-01-01 10:00:00,frøya,prod,-0.314
2025-01-01 10:00:00,frøya,dayahead_reported,13.5
2025-01-01 11:00:00,frøya,measured_avl,56.67605
2025-01-01 11:00:00,frøya,prod,0.12
2025-01-01 11:00:00,frøya,dayahead_reported,12.3
2025-01-01 12:00:00,frøya,measured_avl,58.8
2025-01-01 12:00:00,frøya,prod,3.123
2025-01-01 12:00:00,frøya,dayahead_reported,10.3
2025-01-01 13:00:00,frøya,measured_avl,58.8
2025-01-01 13:00:00,frøya,prod,9.132
2025-01-01 13:00:00,frøya,dayahead_reported,14.2
2025-01-01 14:00:00,frøya,measured_avl,58.8
2025-01-01 14:00:00,frøya,prod,13.425
2025-01-01 14:00:00,frøya,dayahead_reported,31.4
2025-01-01 15:00:00,frøya,measured_avl,58.8
2025-01-01 15:00:00,frøya,prod,17.219
2025-01-01 15:00:00,frøya,dayahead_reported,27.1
2025-01-01 16:00:00,frøya,measured_avl,58.623833
2025-01-01 16:00:00,frøya,prod,18.34
2025-01-01 16:00:00,frøya,dayahead_reported,25.7
2025-01-01 17:00:00,frøya,measured_avl,58.8
2025-01-01 17:00:00,frøya,prod,4.177
2025-01-01 17:00:00,frøya,dayahead_reported,27.0
2025-01-01 18:00:00,frøya,measured_avl,58.8
2025-01-01 18:00:00,frøya,prod,10.6
2025-01-01 18:00:00,frøya,dayahead_reported,33.6
2025-01-01 19:00:00,frøya,measured_avl,58.8
2025-01-01 19:00:00,frøya,prod,17.369
2025-01-01 19:00:00,frøya,dayahead_reported,26.4
2025-01-01 20:00:00,frøya,measured_avl,58.8
2025-01-01 20:00:00,frøya,prod,25.504
2025-01-01 20:00:00,frøya,dayahead_reported,32.0
2025-01-01 21:00:00,frøya,measured_avl,58.8
2025-01-01 21:00:00,frøya,prod,37.976
