"time","park","forecast"," "
2025-01-01 00:00:00,lyckås,dayahead,51.266403
2025-01-01 00:00:00,lyckås,replan,52.806065
2025-01-01 01:00:00,lyckås,dayahead,52.790424
2025-01-01 01:00:00,lyckås,replan,51.972694
2025-01-01 02:00:00,lyckås,dayahead,52.541027
2025-01-01 02:00:00,lyckås,replan,53.317757
2025-01-01 03:00:00,lyckås,dayahead,53.152138
2025-01-01 03:00:00,lyckås,replan,52.634754
2025-01-01 04:00:00,lyckås,dayahead,52.4739
2025-01-01 04:00:00,lyckås,replan,48.98147
2025-01-01 05:00:00,lyckås,dayahead,52.158554
2025-01-01 05:00:00,lyckås,replan,50.75757
2025-01-01 06:00:00,lyckås,dayahead,53.07109
2025-01-01 06:00:00,lyckås,replan,49.559647
2025-01-01 07:00:00,lyckås,dayahead,52.70728
2025-01-01 07:00:00,lyckås,replan,47.802006
2025-01-01 08:00:00,lyckås,dayahead,53.614063
2025-01-01 08:00:00,lyckås,replan,46.268387
2025-01-01 09:00:00,lyckås,dayahead,52.73803
2025-01-01 09:00:00,lyckås,replan,46.11889
2025-01-01 10:00:00,lyckås,dayahead,52.318817
2025-01-01 10:00:00,lyckås,replan,45.174557
2025-01-01 11:00:00,lyckås,dayahead,50.15182
2025-01-01 11:00:00,lyckås,replan,42.270824
2025-01-01 12:00:00,lyckås,dayahead,50.190376
2025-01-01 12:00:00,lyckås,replan,42.283104
2025-01-01 13:00:00,lyckås,dayahead,48.16714
2025-01-01 13:00:00,lyckås,replan,38.735252
2025-01-01 14:00:00,lyckås,dayahead,42.545734
2025-01-01 14:00:00,lyckås,replan,32.77452
2025-01-01 15:00:00,lyckås,dayahead,40.955177
2025-01-01 15:00:00,lyckås,replan,27.438398
2025-01-01 16:00:00,lyckås,dayahead,33.955906
2025-01-01 16:00:00,lyckås,replan,19.77881
2025-01-01 17:00:00,lyckås,dayahead,27.1838
2025-01-01 17:00:00,lyckås,replan,10.825126
2025-01-01 18:00:00,lyckås,dayahead,22.190207
2025-01-01 18:00:00,lyckås,replan,6.8163548
2025-01-01 19:00:00,lyckås,dayahead,25.097748
2025-01-01 19:00:00,lyckås,replan,9.251633
2025-01-01 20:00:00,lyckås,dayahead,23.180302
2025-01-01 20:00:00,lyckås,replan,11.104592
2025-01-01 21:00:00,lyckås,dayahead,18.995543
2025-01-01 21:00:00,lyckås,replan,15.306066
2025-01-01 22:00:00,lyckås,dayahead,17.421791
2025-01-01 22:00:00,lyckås,replan,16.831305
2025-01-01 23:00:00,lyckås,dayahead,17.852047
2025-01-01 23:00:00,lyckås,replan,15.263761
2025-01-02 00:00:00,lyckås,dayahead,19.589365
2025-01-02 00:00:00,lyckås,replan,14.23481
2025-01-02 01:00:00,lyckås,dayahead,20.960447
2025-01-02 01:00:00,lyckås,replan,14.936374
2025-01-02 02:00:00,lyckås,dayahead,21.363878
2025-01-02 02:00:00,lyckås,replan,16.019955
2025-01-02 03:00:00,lyckås,dayahead,22.71699
2025-01-02 03:00:00,lyckås,replan,19.404547
2025-01-02 04:00:00,lyckås,dayahead,23.965372
2025-01-02 04:00:00,lyckås,replan,17.806616
2025-01-02 05:00:00,lyckås,dayahead,24.557991
2025-01-02 05:00:00,lyckås,replan,18.78841
2025-01-02 06:00:00,lyckås,dayahead,24.624205
2025-01-02 06:00:00,lyckås,replan,21.194115
2025-01-02 07:00:00,lyckås,dayahead,24.405218
2025-01-02 07:00:00,lyckås,replan,18.432459
2025-01-02 08:00:00,lyckås,dayahead,21.605162
2025-01-02 08:00:00,lyckås,replan,15.074599
2025-01-02 09:00:00,lyckås,dayahead,19.508677
2025-01-02 09:00:00,lyckås,replan,13.877956
2025-01-02 10:00:00,lyckås,dayahead,17.52922
2025-01-02 10:00:00,lyckås,replan,12.49908
2025-01-02 11:00:00,lyckås,dayahead,14.544873
2025-01-02 11:00:00,lyckås,replan,13.9453335
2025-01-02 12:00:00,lyckås,dayahead,13.544241
2025-01-02 12:00:00,lyckås,replan,19.567816
2025-01-02 13:00:00,lyckås,dayahead,14.245877
2025-01-02 13:00:00,lyckås,replan,25.846497
2025-01-02 14:00:00,lyckås,dayahead,22.049896
2025-01-02 14:00:00,lyckås,replan,27.81508
2025-01-02 15:00:00,lyckås,dayahead,25.171251
2025-01-02 15:00:00,lyckås,replan,25.685862
2025-01-02 16:00:00,lyckås,dayahead,24.031023
2025-01-02 17:00:00,lyckås,dayahead,22.161667
2025-01-02 17:00:00,lyckås,replan,21.384699
2025-01-02 18:00:00,lyckås,dayahead,23.828531
2025-01-02 18:00:00,lyckås,replan,16.67915
2025-01-02 19:00:00,lyckås,dayahead,27.169445
2025-01-02 19:00:00,lyckås,replan,14.570891
2025-01-02 20:00:00,lyckås,dayahead,26.661512
2025-01-02 20:00:00,lyckås,replan,14.994494
2025-01-02 21:00:00,lyckås,dayahead,28.421213
2025-01-02 21:00:00,lyckås,replan,13.116642
2025-01-02 22:00:00,lyckås,dayahead,30.047667
2025-01-02 22:00:00,lyckås,replan,10.478998
2025-01-02 23:00:00,lyckås,dayahead,24.67246
2025-01-03 00:00:00,lyckås,dayahead,23.427996
2025-01-03 00:00:00,lyckås,replan,15.167875
2025-01-03 01:00:00,lyckås,dayahead,22.695862
2025-01-03 01:00:00,lyckås,replan,25.383142
2025-01-03 02:00:00,lyckås,dayahead,21.267567
2025-01-03 02:00:00,lyckås,replan,31.600134
2025-01-03 03:00:00,lyckås,dayahead,19.292128
2025-01-03 03:00:00,lyckås,replan,24.836779
2025-01-03 04:00:00,lyckås,dayahead,17.548792
2025-01-03 04:00:00,lyckås,replan,30.017801
2025-01-03 05:00:00,lyckås,dayahead,18.885834
2025-01-03 05:00:00,lyckås,replan,28.658484
2025-01-03 06:00:00,lyckås,dayahead,13.283024
2025-01-03 06:00:00,lyckås,replan,30.533657
2025-01-03 07:00:00,lyckås,dayahead,12.839127
2025-01-03 07:00:00,lyckås,replan,31.606775
2025-01-03 08:00:00,lyckås,dayahead,29.841305
2025-01-03 08:00:00,lyckås,replan,26.193743
2025-01-03 09:00:00,lyckås,dayahead,38.661674
2025-01-03 09:00:00,lyckås,replan,23.065786
2025-01-03 10:00:00,lyckås,dayahead,34.863335
2025-01-03 10:00:00,lyckås,replan,25.724483
2025-01-03 11:00:00,lyckås,dayahead,31.118742
2025-01-03 11:00:00,lyckås,replan,25.993006
2025-01-03 12:00:00,lyckås,dayahead,28.358099
2025-01-03 12:00:00,lyckås,replan,25.037971
2025-01-03 13:00:00,lyckås,dayahead,37.286907
2025-01-03 13:00:00,lyckås,replan,17.299297
2025-01-03 14:00:00,lyckås,dayahead,41.81083
2025-01-03 14:00:00,lyckås,replan,15.302164
2025-01-03 15:00:00,lyckås,dayahead,40.302155
2025-01-03 15:00:00,lyckås,replan,22.080776
2025-01-03 16:00:00,lyckås,dayahead,38.191204
2025-01-03 16:00:00,lyckås,replan,18.910059
2025-01-03 17:00:00,lyckås,dayahead,30.54038
2025-01-03 17:00:00,lyckås,replan,25.940964
2025-01-03 18:00:00,lyckås,dayahead,28.144232
2025-01-03 18:00:00,lyckås,replan,31.27438
2025-01-03 19:00:00,lyckås,dayahead,20.67858
2025-01-03 19:00:00,lyckås,replan,31.56868
2025-01-03 20:00:00,lyckås,dayahead,17.753168
2025-01-03 20:00:00,lyckås,replan,31.955889
2025-01-03 21:00:00,lyckås,dayahead,16.44425
2025-01-03 21:00:00,lyckås,replan,33.066406
2025-01-03 22:00:00,lyckås,dayahead,14.962756
2025-01-03 22:00:00,lyckås,replan,19.652523
2025-01-03 23:00:00,lyckås,dayahead,20.072329
2025-01-03 23:00:00,lyckås,replan,13.458721
2025-01-04 00:00:00,lyckås,dayahead,19.646662
2025-01-04 00:00:00,lyckås,replan,15.701873
2025-01-04 01:00:00,lyckås,dayahead,25.110233
2025-01-04 01:00:00,lyckås,replan,21.903942
2025-01-04 02:00:00,lyckås,dayahead,34.263535
2025-01-04 02:00:00,lyckås,replan,26.305763
2025-01-04 03:00:00,lyckås,dayahead,40.558777
2025-01-04 03:00:00,lyckås,replan,25.160858
2025-01-04 04:00:00,lyckås,dayahead,40.653526
2025-01-04 04:00:00,lyckås,replan,32.35761
2025-01-04 05:00:00,lyckås,dayahead,35.035194
2025-01-04 05:00:00,lyckås,replan,39.714405
2025-01-04 06:00:00,lyckås,dayahead,37.85318
2025-01-04 06:00:00,lyckås,replan,41.705708
2025-01-04 07:00:00,lyckås,dayahead,41.725864
2025-01-04 07:00:00,lyckås,replan,46.94872
2025-01-04 08:00:00,lyckås,dayahead,43.699272
2025-01-04 08:00:00,lyckås,replan,44.305946
2025-01-04 09:00:00,lyckås,dayahead,46.677444
2025-01-04 09:00:00,lyckås,replan,39.87674
2025-01-04 10:00:00,lyckås,dayahead,45.70455
2025-01-04 10:00:00,lyckås,replan,36.377228
2025-01-04 11:00:00,lyckås,dayahead,40.801163
2025-01-04 11:00:00,lyckås,replan,29.320515
2025-01-04 12:00:00,lyckås,dayahead,35.99585
2025-01-04 12:00:00,lyckås,replan,22.096312
2025-01-04 13:00:00,lyckås,dayahead,29.900229
2025-01-04 13:00:00,lyckås,replan,19.415977
2025-01-04 14:00:00,lyckås,dayahead,24.182432
2025-01-04 14:00:00,lyckås,replan,17.180834
2025-01-04 15:00:00,lyckås,dayahead,23.274517
2025-01-04 15:00:00,lyckås,replan,14.394348
2025-01-04 16:00:00,lyckås,dayahead,24.202692
2025-01-04 16:00:00,lyckås,replan,12.873868
2025-01-04 17:00:00,lyckås,dayahead,22.427969
2025-01-04 17:00:00,lyckås,replan,14.025178
2025-01-04 18:00:00,lyckås,dayahead,22.42572
2025-01-04 18:00:00,lyckås,replan,15.395919
2025-01-04 19:00:00,lyckås,dayahead,23.298649
2025-01-04 19:00:00,lyckås,replan,11.81351
2025-01-04 20:00:00,lyckås,dayahead,23.467066
2025-01-04 20:00:00,lyckås,replan,10.42923
2025-01-04 21:00:00,lyckås,dayahead,23.123299
2025-01-04 21:00:00,lyckås,replan,9.034498
2025-01-04 22:00:00,lyckås,dayahead,21.137806
2025-01-04 22:00:00,lyckås,replan,8.6025505
2025-01-04 23:00:00,lyckås,dayahead,19.744686
2025-01-04 23:00:00,lyckås,replan,7.774516
2025-01-05 00:00:00,lyckås,dayahead,16.428085
2025-01-05 00:00:00,lyckås,replan,6.703167
2025-01-05 01:00:00,lyckås,dayahead,12.512086
2025-01-05 01:00:00,lyckås,replan,5.1791673
2025-01-05 02:00:00,lyckås,dayahead,8.3516
2025-01-05 02:00:00,lyckås,replan,3.5013754
2025-01-05 03:00:00,lyckås,dayahead,5.362543
2025-01-05 03:00:00,lyckås,replan,1.2966632
2025-01-05 04:00:00,lyckås,dayahead,4.853429
2025-01-05 05:00:00,lyckås,dayahead,4.048794
2025-01-05 05:00:00,lyckås,replan,1.0518482
2025-01-05 06:00:00,lyckås,dayahead,1.8099294
2025-01-05 06:00:00,lyckås,replan,0.89305425
2025-01-05 07:00:00,lyckås,dayahead,2.150338
2025-01-05 07:00:00,lyckås,replan,0.343273
2025-01-05 08:00:00,lyckås,dayahead,3.725471
2025-01-05 08:00:00,lyckås,replan,0.61027277
2025-01-05 09:00:00,lyckås,dayahead,8.566705
2025-01-05 09:00:00,lyckås,replan,0.15673165
2025-01-05 10:00:00,lyckås,dayahead,11.265279
2025-01-05 10:00:00,lyckås,replan,0.9579907
2025-01-05 11:00:00,lyckås,dayahead,14.654756
2025-01-05 11:00:00,lyckås,replan,4.274113
2025-01-05 12:00:00,lyckås,dayahead,16.811964
2025-01-05 12:00:00,lyckås,replan,10.197757
2025-01-05 13:00:00,lyckås,dayahead,14.96851
2025-01-05 13:00:00,lyckås,replan,9.924913
2025-01-05 14:00:00,lyckås,dayahead,14.833691
2025-01-05 14:00:00,lyckås,replan,12.256758
2025-01-05 15:00:00,lyckås,dayahead,13.017538
2025-01-05 15:00:00,lyckås,replan,14.618827
2025-01-05 16:00:00,lyckås,dayahead,13.589638
2025-01-05 16:00:00,lyckås,replan,14.517077
2025-01-05 17:00:00,lyckås,dayahead,14.18807
2025-01-05 17:00:00,lyckås,replan,17.16566
2025-01-05 18:00:00,lyckås,dayahead,14.932656
2025-01-05 18:00:00,lyckås,replan,18.503923
2025-01-05 19:00:00,lyckås,dayahead,17.67301
2025-01-05 19:00:00,lyckås,replan,18.90627
2025-01-05 20:00:00,lyckås,dayahead,21.771463
2025-01-05 20:00:00,lyckås,replan,22.784792
2025-01-05 21:00:00,lyckås,dayahead,25.814753
2025-01-05 21:00:00,lyckås,replan,24.813404
2025-01-05 22:00:00,lyckås,dayahead,28.701159
2025-01-05 22:00:00,lyckås,replan,28.84321
2025-01-05 23:00:00,lyckås,dayahead,32.441624
2025-01-05 23:00:00,lyckås,replan,32.13786
2025-01-06 00:00:00,lyckås,dayahead,37.15677
2025-01-06 00:00:00,lyckås,replan,37.43639
2025-01-06 01:00:00,lyckås,dayahead,41.25234
2025-01-06 01:00:00,lyckås,replan,38.303596
2025-01-06 02:00:00,lyckås,dayahead,42.844254
2025-01-06 02:00:00,lyckås,replan,42.02853
2025-01-06 03:00:00,lyckås,dayahead,45.639458
2025-01-06 03:00:00,lyckås,replan,42.923344
2025-01-06 04:00:00,lyckås,dayahead,47.758255
2025-01-06 04:00:00,lyckås,replan,47.12179
2025-01-06 05:00:00,lyckås,dayahead,49.282223
2025-01-06 05:00:00,lyckås,replan,49.030613
2025-01-06 06:00:00,lyckås,dayahead,48.672195
2025-01-06 06:00:00,lyckås,replan,49.99072
