"time","park","series","value"
2025-01-01 00:00:00,lyckås,measured_avl,54.0
2025-01-01 00:00:00,lyckås,wd_measured,215.4851
2025-01-01 00:00:00,lyckås,dayahead_reported,51.3
2025-01-01 00:00:00,lyckås,prod,51.147
2025-01-01 00:00:00,lyckås,ws_measured,12.354305
2025-01-01 01:00:00,lyckås,measured_avl,54.0
2025-01-01 01:00:00,lyckås,dayahead_reported,52.8
2025-01-01 01:00:00,lyckås,wd_measured,218.06253
2025-01-01 01:00:00,lyckås,prod,51.447
2025-01-01 01:00:00,lyckås,ws_measured,12.455764
2025-01-01 02:00:00,lyckås,measured_avl,54.0
2025-01-01 02:00:00,lyckås,dayahead_reported,52.5
2025-01-01 02:00:00,lyckås,wd_measured,217.34756
2025-01-01 02:00:00,lyckås,prod,50.405
2025-01-01 02:00:00,lyckås,ws_measured,11.855162
2025-01-01 03:00:00,lyckås,measured_avl,54.0
2025-01-01 03:00:00,lyckås,dayahead_reported,53.2
2025-01-01 03:00:00,lyckås,wd_measured,225.27484
2025-01-01 03:00:00,lyckås,prod,48.715
2025-01-01 03:00:00,lyckås,ws_measured,11.252708
2025-01-01 04:00:00,lyckås,dayahead_reported,52.5
2025-01-01 04:00:00,lyckås,measured_avl,54.0
2025-01-01 04:00:00,lyckås,wd_measured,239.65154
2025-01-01 04:00:00,lyckås,prod,42.826
2025-01-01 04:00:00,lyckås,ws_measured,10.058032
2025-01-01 05:00:00,lyckås,dayahead_reported,52.2
2025-01-01 05:00:00,lyckås,measured_avl,54.0
2025-01-01 05:00:00,lyckås,wd_measured,239.50635
2025-01-01 05:00:00,lyckås,prod,43.232
2025-01-01 05:00:00,lyckås,ws_measured,10.134259
2025-01-01 06:00:00,lyckås,dayahead_reported,53.1
2025-01-01 06:00:00,lyckås,measured_avl,54.0
2025-01-01 06:00:00,lyckås,wd_measured,230.86072
2025-01-01 06:00:00,lyckås,prod,47.037
2025-01-01 06:00:00,lyckås,ws_measured,10.697246
2025-01-01 07:00:00,lyckås,dayahead_reported,52.7
2025-01-01 07:00:00,lyckås,measured_avl,54.0
2025-01-01 07:00:00,lyckås,wd_measured,230.0686
2025-01-01 07:00:00,lyckås,prod,49.288
2025-01-01 07:00:00,lyckås,ws_measured,11.298565
2025-01-01 08:00:00,lyckås,dayahead_reported,53.6
2025-01-01 08:00:00,lyckås,measured_avl,49.725
2025-01-01 08:00:00,lyckås,wd_measured,231.17395
2025-01-01 08:00:00,lyckås,prod,44.077
2025-01-01 08:00:00,lyckås,ws_measured,10.834606
2025-01-01 09:00:00,lyckås,dayahead_reported,52.7
2025-01-01 09:00:00,lyckås,wd_measured,235.58519
2025-01-01 09:00:00,lyckås,measured_avl,49.5
2025-01-01 09:00:00,lyckås,prod,39.979
2025-01-01 09:00:00,lyckås,ws_measured,10.136752
2025-01-01 10:00:00,lyckås,dayahead_reported,52.3
2025-01-01 10:00:00,lyckås,wd_measured,237.35469
2025-01-01 10:00:00,lyckås,prod,43.713
2025-01-01 10:00:00,lyckås,ws_measured,10.66482
2025-01-01 10:00:00,lyckås,measured_avl,49.5
2025-01-01 11:00:00,lyckås,dayahead_reported,50.2
2025-01-01 11:00:00,lyckås,measured_avl,51.45
2025-01-01 11:00:00,lyckås,wd_measured,233.54373
2025-01-01 11:00:00,lyckås,prod,36.159
2025-01-01 11:00:00,lyckås,ws_measured,9.304321
2025-01-01 12:00:00,lyckås,dayahead_reported,50.2
2025-01-01 12:00:00,lyckås,measured_avl,55.8
2025-01-01 12:00:00,lyckås,wd_measured,226.11494
2025-01-01 12:00:00,lyckås,prod,37.035
2025-01-01 12:00:00,lyckås,ws_measured,8.979238
2025-01-01 13:00:00,lyckås,dayahead_reported,48.2
2025-01-01 13:00:00,lyckås,wd_measured,221.8466
2025-01-01 13:00:00,lyckås,measured_avl,58.5
2025-01-01 13:00:00,lyckås,prod,41.254
2025-01-01 13:00:00,lyckås,ws_measured,9.246603
2025-01-01 14:00:00,lyckås,dayahead_reported,42.6
2025-01-01 14:00:00,lyckås,wd_measured,222.27742
2025-01-01 14:00:00,lyckås,measured_avl,58.5
2025-01-01 14:00:00,lyckås,prod,40.704
2025-01-01 14:00:00,lyckås,ws_measured,9.109081
2025-01-01 15:00:00,lyckås,dayahead_reported,41.0
2025-01-01 15:00:00,lyckås,wd_measured,228.66986
2025-01-01 15:00:00,lyckås,measured_avl,58.5
2025-01-01 15:00:00,lyckås,prod,33.636
2025-01-01 15:00:00,lyckås,ws_measured,8.417735
2025-01-01 16:00:00,lyckås,dayahead_reported,34.0
2025-01-01 16:00:00,lyckås,wd_measured,248.24623
2025-01-01 16:00:00,lyckås,measured_avl,58.5
2025-01-01 16:00:00,lyckås,prod,22.542
2025-01-01 16:00:00,lyckås,ws_measured,7.267094
2025-01-01 17:00:00,lyckås,dayahead_reported,27.2
2025-01-01 17:00:00,lyckås,wd_measured,302.3797
2025-01-01 17:00:00,lyckås,measured_avl,58.5
2025-01-01 17:00:00,lyckås,prod,4.9
2025-01-01 17:00:00,lyckås,ws_measured,4.7196894
2025-01-01 18:00:00,lyckås,dayahead_reported,22.2
2025-01-01 18:00:00,lyckås,wd_measured,340.77066
2025-01-01 18:00:00,lyckås,measured_avl,58.5
2025-01-01 18:00:00,lyckås,prod,7.923
2025-01-01 18:00:00,lyckås,ws_measured,5.3900857
2025-01-01 19:00:00,lyckås,dayahead_reported,25.1
2025-01-01 19:00:00,lyckås,wd_measured,352.91025
2025-01-01 19:00:00,lyckås,measured_avl,58.5
2025-01-01 19:00:00,lyckås,prod,4.225
2025-01-01 19:00:00,lyckås,ws_measured,4.5864744
2025-01-01 20:00:00,lyckås,dayahead_reported,23.2
2025-01-01 20:00:00,lyckås,wd_measured,11.22743
2025-01-01 20:00:00,lyckås,measured_avl,58.5
2025-01-01 20:00:00,lyckås,prod,6.937
2025-01-01 20:00:00,lyckås,ws_measured,5.2450643
2025-01-01 21:00:00,lyckås,dayahead_reported,19.0
2025-01-01 21:00:00,lyckås,wd_measured,13.778116
2025-01-01 21:00:00,lyckås,measured_avl,58.5
2025-01-01 21:00:00,lyckås,prod,8.491
2025-01-01 21:00:00,lyckås,ws_measured,5.5054703
2025-01-01 22:00:00,lyckås,dayahead_reported,17.4
2025-01-01 22:00:00,lyckås,wd_measured,18.480806
2025-01-01 22:00:00,lyckås,measured_avl,58.5
2025-01-01 22:00:00,lyckås,prod,7.736
2025-01-01 22:00:00,lyckås,ws_measured,5.6202135
2025-01-01 23:00:00,lyckås,dayahead_reported,17.8
2025-01-01 23:00:00,lyckås,wd_measured,10.228535
2025-01-01 23:00:00,lyckås,measured_avl,58.5
2025-01-01 23:00:00,lyckås,prod,5.927
2025-01-01 23:00:00,lyckås,ws_measured,5.4897223
2025-01-02 00:00:00,lyckås,dayahead_reported,19.6
2025-01-02 00:00:00,lyckås,wd_measured,11.406883
2025-01-02 00:00:00,lyckås,measured_avl,58.5
2025-01-02 00:00:00,lyckås,prod,6.282
2025-01-02 00:00:00,lyckås,ws_measured,5.536336
2025-01-02 01:00:00,lyckås,dayahead_reported,21.0
2025-01-02 01:00:00,lyckås,wd_measured,6.1854987
2025-01-02 01:00:00,lyckås,measured_avl,58.5
2025-01-02 01:00:00,lyckås,prod,5.403
2025-01-02 01:00:00,lyckås,ws_measured,5.374265
2025-01-02 02:00:00,lyckås,dayahead_reported,21.4
2025-01-02 02:00:00,lyckås,wd_measured,338.46347
2025-01-02 02:00:00,lyckås,measured_avl,58.5
2025-01-02 02:00:00,lyckås,prod,9.032
