"time","park","forecast"," "
2025-01-01 00:00:00,trattberget,dayahead,0.76335776
2025-01-01 00:00:00,trattberget,replan,0.75840515
2025-01-01 01:00:00,trattberget,dayahead,0.6402778
2025-01-01 01:00:00,trattberget,replan,0.49816614
2025-01-01 02:00:00,trattberget,dayahead,0.53733426
2025-01-01 02:00:00,trattberget,replan,0.44276977
2025-01-01 03:00:00,trattberget,dayahead,0.5172109
2025-01-01 03:00:00,trattberget,replan,2.1374128
2025-01-01 04:00:00,trattberget,dayahead,0.35499412
2025-01-01 04:00:00,trattberget,replan,3.9460192
2025-01-01 05:00:00,trattberget,dayahead,0.5108491
2025-01-01 05:00:00,trattberget,replan,7.8265376
2025-01-01 06:00:00,trattberget,dayahead,1.7479453
2025-01-01 06:00:00,trattberget,replan,9.092996
2025-01-01 07:00:00,trattberget,dayahead,4.874246
2025-01-01 07:00:00,trattberget,replan,11.769299
2025-01-01 08:00:00,trattberget,dayahead,9.361187
2025-01-01 08:00:00,trattberget,replan,17.018475
2025-01-01 09:00:00,trattberget,dayahead,9.6423
2025-01-01 09:00:00,trattberget,replan,22.598835
2025-01-01 10:00:00,trattberget,dayahead,11.472202
2025-01-01 10:00:00,trattberget,replan,29.288929
2025-01-01 11:00:00,trattberget,dayahead,12.108851
2025-01-01 11:00:00,trattberget,replan,32.511345
2025-01-01 12:00:00,trattberget,dayahead,13.598159
2025-01-01 12:00:00,trattberget,replan,29.624374
2025-01-01 13:00:00,trattberget,dayahead,15.325552
2025-01-01 13:00:00,trattberget,replan,29.251911
2025-01-01 14:00:00,trattberget,dayahead,14.455001
2025-01-01 14:00:00,trattberget,replan,31.740988
2025-01-01 15:00:00,trattberget,dayahead,17.246286
2025-01-01 15:00:00,trattberget,replan,36.875896
2025-01-01 16:00:00,trattberget,dayahead,16.20975
2025-01-01 16:00:00,trattberget,replan,41.07368
2025-01-01 17:00:00,trattberget,dayahead,21.481987
2025-01-01 17:00:00,trattberget,replan,43.694603
2025-01-01 18:00:00,trattberget,dayahead,20.780392
2025-01-01 18:00:00,trattberget,replan,48.212387
2025-01-01 19:00:00,trattberget,dayahead,21.32354
2025-01-01 19:00:00,trattberget,replan,49.265022
2025-01-01 20:00:00,trattberget,dayahead,22.09771
2025-01-01 20:00:00,trattberget,replan,49.594078
2025-01-01 21:00:00,trattberget,dayahead,26.339563
2025-01-01 21:00:00,trattberget,replan,46.714626
2025-01-01 22:00:00,trattberget,dayahead,27.603592
2025-01-01 22:00:00,trattberget,replan,47.58183
2025-01-01 23:00:00,trattberget,dayahead,29.670551
2025-01-01 23:00:00,trattberget,replan,42.049156
2025-01-02 00:00:00,trattberget,dayahead,28.062534
2025-01-02 00:00:00,trattberget,replan,40.616177
2025-01-02 01:00:00,trattberget,dayahead,25.774885
2025-01-02 01:00:00,trattberget,replan,43.75707
2025-01-02 02:00:00,trattberget,dayahead,27.497683
2025-01-02 02:00:00,trattberget,replan,46.778168
2025-01-02 03:00:00,trattberget,dayahead,30.070234
2025-01-02 03:00:00,trattberget,replan,52.277473
2025-01-02 04:00:00,trattberget,dayahead,24.923254
2025-01-02 04:00:00,trattberget,replan,50.094902
2025-01-02 05:00:00,trattberget,dayahead,24.761055
2025-01-02 05:00:00,trattberget,replan,51.52394
2025-01-02 06:00:00,trattberget,dayahead,23.069456
2025-01-02 06:00:00,trattberget,replan,52.744717
2025-01-02 07:00:00,trattberget,dayahead,21.978659
2025-01-02 07:00:00,trattberget,replan,56.60525
2025-01-02 08:00:00,trattberget,dayahead,23.484442
2025-01-02 08:00:00,trattberget,replan,59.768185
2025-01-02 09:00:00,trattberget,dayahead,22.2892
2025-01-02 09:00:00,trattberget,replan,56.421486
