"time","area","value"
"2025-01-01 00:00:00.000 +0000",SE3,2.47
"2025-01-01 00:00:00.000 +0000",SE2,3.69
"2025-01-01 00:00:00.000 +0000",NO3,11.4
"2025-01-01 01:00:00.000 +0000",SE3,2.44
"2025-01-01 01:00:00.000 +0000",SE2,3.55
"2025-01-01 01:00:00.000 +0000",NO3,11.2
"2025-01-01 02:00:00.000 +0000",SE3,1.98
"2025-01-01 02:00:00.000 +0000",SE2,3.19
"2025-01-01 02:00:00.000 +0000",NO3,11.53
"2025-01-01 03:00:00.000 +0000",SE3,1.79
"2025-01-01 03:00:00.000 +0000",SE2,3.15
"2025-01-01 03:00:00.000 +0000",NO3,12.52
"2025-01-01 04:00:00.000 +0000",SE3,2.71
"2025-01-01 04:00:00.000 +0000",SE2,3.68
"2025-01-01 04:00:00.000 +0000",NO3,11.04
"2025-01-01 05:00:00.000 +0000",SE3,1.78
"2025-01-01 05:00:00.000 +0000",SE2,3.21
"2025-01-01 05:00:00.000 +0000",NO3,12.34
"2025-01-01 06:00:00.000 +0000",SE3,2.03
"2025-01-01 06:00:00.000 +0000",SE2,3.48
"2025-01-01 06:00:00.000 +0000",NO3,12.95
"2025-01-01 07:00:00.000 +0000",SE3,2.92
"2025-01-01 07:00:00.000 +0000",SE2,4.32
"2025-01-01 07:00:00.000 +0000",NO3,13.52
"2025-01-01 08:00:00.000 +0000",SE3,3.27
"2025-01-01 08:00:00.000 +0000",SE2,4.77
"2025-01-01 08:00:00.000 +0000",NO3,14.69
"2025-01-01 09:00:00.000 +0000",SE3,4.29
"2025-01-01 09:00:00.000 +0000",SE2,5.89
"2025-01-01 09:00:00.000 +0000",NO3,17.11
"2025-01-01 10:00:00.000 +0000",SE3,4.43
"2025-01-01 10:00:00.000 +0000",SE2,5.98
"2025-01-01 10:00:00.000 +0000",NO3,17.04
"2025-01-01 11:00:00.000 +0000",SE3,4.44
"2025-01-01 11:00:00.000 +0000",SE2,5.9
"2025-01-01 11:00:00.000 +0000",NO3,16.16
"2025-01-01 12:00:00.000 +0000",SE3,4.5
"2025-01-01 12:00:00.000 +0000",SE2,5.94
"2025-01-01 12:00:00.000 +0000",NO3,15.96
"2025-01-01 13:00:00.000 +0000",SE3,5.99
"2025-01-01 13:00:00.000 +0000",SE2,7.28
"2025-01-01 13:00:00.000 +0000",NO3,16.75
"2025-01-01 14:00:00.000 +0000",SE3,12.26
"2025-01-01 14:00:00.000 +0000",SE2,12.37
"2025-01-01 14:00:00.000 +0000",NO3,16.08
"2025-01-01 15:00:00.000 +0000",SE3,18.84
"2025-01-01 15:00:00.000 +0000",SE2,17.85
"2025-01-01 15:00:00.000 +0000",NO3,15.01
"2025-01-01 16:00:00.000 +0000",SE3,20.69
"2025-01-01 16:00:00.000 +0000",SE2,18.87
"2025-01-01 16:00:00.000 +0000",NO3,10.84
"2025-01-01 17:00:00.000 +0000",SE3,16.31
"2025-01-01 17:00:00.000 +0000",SE2,14.98
"2025-01-01 17:00:00.000 +0000",NO3,9.92
"2025-01-01 18:00:00.000 +0000",SE3,10.0
"2025-01-01 18:00:00.000 +0000",SE2,9.78
"2025-01-01 18:00:00.000 +0000",NO3,9.76
"2025-01-01 19:00:00.000 +0000",SE3,8.07
"2025-01-01 19:00:00.000 +0000",SE2,8.21
"2025-01-01 19:00:00.000 +0000",NO3,9.89
"2025-01-01 20:00:00.000 +0000",SE3,6.88
"2025-01-01 20:00:00.000 +0000",SE2,7.19
"2025-01-01 20:00:00.000 +0000",NO3,9.9
"2025-01-01 21:00:00.000 +0000",SE3,9.64
"2025-01-01 21:00:00.000 +0000",SE2,9.26
"2025-01-01 21:00:00.000 +0000",NO3,8.1
"2025-01-01 22:00:00.000 +0000",SE3,7.04
"2025-01-01 22:00:00.000 +0000",SE2,7.1
"2025-01-01 22:00:00.000 +0000",NO3,8.29
"2025-01-01 23:00:00.000 +0000",SE3,3.4
"2025-01-01 23:00:00.000 +0000",SE2,4.55
"2025-01-01 23:00:00.000 +0000",NO3,14.85
"2025-01-02 00:00:00.000 +0000",SE3,3.25
"2025-01-02 00:00:00.000 +0000",SE2,4.41
"2025-01-02 00:00:00.000 +0000",NO3,14.39
"2025-01-02 01:00:00.000 +0000",SE3,4.0
"2025-01-02 01:00:00.000 +0000",SE2,4.88
"2025-01-02 01:00:00.000 +0000",NO3,12.61
"2025-01-02 02:00:00.000 +0000",SE3,6.69
"2025-01-02 02:00:00.000 +0000",SE2,6.2
"2025-01-02 02:00:00.000 +0000",NO3,9.24
"2025-01-02 03:00:00.000 +0000",SE3,10.71
"2025-01-02 03:00:00.000 +0000",SE2,5.89
"2025-01-02 03:00:00.000 +0000",NO3,9.33
"2025-01-02 04:00:00.000 +0000",SE3,17.77
"2025-01-02 04:00:00.000 +0000",SE2,5.96
"2025-01-02 04:00:00.000 +0000",NO3,10.51
"2025-01-02 05:00:00.000 +0000",SE3,40.18
"2025-01-02 05:00:00.000 +0000",SE2,6.62
"2025-01-02 05:00:00.000 +0000",NO3,10.84
"2025-01-02 06:00:00.000 +0000",SE3,93.98
"2025-01-02 06:00:00.000 +0000",SE2,5.94
"2025-01-02 06:00:00.000 +0000",NO3,13.59
"2025-01-02 07:00:00.000 +0000",SE3,118.65
"2025-01-02 07:00:00.000 +0000",SE2,6.01
"2025-01-02 07:00:00.000 +0000",NO3,10.89
"2025-01-02 08:00:00.000 +0000",SE3,124.76
"2025-01-02 08:00:00.000 +0000",SE2,6.03
"2025-01-02 08:00:00.000 +0000",NO3,10.67
"2025-01-02 09:00:00.000 +0000",SE3,123.35
"2025-01-02 09:00:00.000 +0000",SE2,5.56
"2025-01-02 09:00:00.000 +0000",NO3,10.33
"2025-01-02 10:00:00.000 +0000",SE3,110.5
"2025-01-02 10:00:00.000 +0000",SE2,5.6
"2025-01-02 10:00:00.000 +0000",NO3,9.73
"2025-01-02 11:00:00.000 +0000",SE3,100.84
"2025-01-02 11:00:00.000 +0000",SE2,5.66
"2025-01-02 11:00:00.000 +0000",NO3,10.47
"2025-01-02 12:00:00.000 +0000",SE3,106.1
"2025-01-02 12:00:00.000 +0000",SE2,5.39
"2025-01-02 12:00:00.000 +0000",NO3,10.66
"2025-01-02 13:00:00.000 +0000",SE3,112.56
"2025-01-02 13:00:00.000 +0000",SE2,5.33
"2025-01-02 13:00:00.000 +0000",NO3,12.9
"2025-01-02 14:00:00.000 +0000",SE3,127.82
"2025-01-02 14:00:00.000 +0000",SE2,5.2
"2025-01-02 14:00:00.000 +0000",NO3,16.3
"2025-01-02 15:00:00.000 +0000",SE3,135.32
"2025-01-02 15:00:00.000 +0000",SE2,5.55
"2025-01-02 15:00:00.000 +0000",NO3,15.31
"2025-01-02 16:00:00.000 +0000",SE3,150.01
"2025-01-02 16:00:00.000 +0000",SE2,5.4
"2025-01-02 16:00:00.000 +0000",NO3,14.88
"2025-01-02 17:00:00.000 +0000",SE3,147.02
"2025-01-02 17:00:00.000 +0000",SE2,5.33
"2025-01-02 17:00:00.000 +0000",NO3,16.06
"2025-01-02 18:00:00.000 +0000",SE3,108.33
"2025-01-02 18:00:00.000 +0000",SE2,5.39
"2025-01-02 18:00:00.000 +0000",NO3,16.29
"2025-01-02 19:00:00.000 +0000",SE3,103.54
"2025-01-02 19:00:00.000 +0000",SE2,5.38
"2025-01-02 19:00:00.000 +0000",NO3,15.95
"2025-01-02 20:00:00.000 +0000",SE3,76.35
"2025-01-02 20:00:00.000 +0000",SE2,5.34
"2025-01-02 20:00:00.000 +0000",NO3,19.99
"2025-01-02 21:00:00.000 +0000",SE3,61.86
"2025-01-02 21:00:00.000 +0000",SE2,7.28
"2025-01-02 21:00:00.000 +0000",NO3,10.48
"2025-01-02 22:00:00.000 +0000",SE3,49.16
"2025-01-02 22:00:00.000 +0000",SE2,7.44
"2025-01-02 22:00:00.000 +0000",NO3,9.64
"2025-01-02 23:00:00.000 +0000",SE3,43.01
"2025-01-02 23:00:00.000 +0000",SE2,5.69
"2025-01-02 23:00:00.000 +0000",NO3,9.56
"2025-01-03 00:00:00.000 +0000",SE3,38.15
"2025-01-03 00:00:00.000 +0000",SE2,5.98
"2025-01-03 00:00:00.000 +0000",NO3,9.9
"2025-01-03 01:00:00.000 +0000",SE3,35.22
"2025-01-03 01:00:00.000 +0000",SE2,6.39
"2025-01-03 01:00:00.000 +0000",NO3,9.96
"2025-01-03 02:00:00.000 +0000",SE3,33.43
"2025-01-03 02:00:00.000 +0000",SE2,9.1
"2025-01-03 02:00:00.000 +0000",NO3,8.95
"2025-01-03 03:00:00.000 +0000",SE3,29.73
"2025-01-03 03:00:00.000 +0000",SE2,14.43
"2025-01-03 03:00:00.000 +0000",NO3,8.83
"2025-01-03 04:00:00.000 +0000",SE3,30.58
"2025-01-03 04:00:00.000 +0000",SE2,15.7
"2025-01-03 04:00:00.000 +0000",NO3,9.1
"2025-01-03 05:00:00.000 +0000",SE3,38.36
"2025-01-03 05:00:00.000 +0000",SE2,16.65
