"time","park","series","value"
2025-01-01 00:00:00,trattberget,prod,0.74
2025-01-01 00:00:00,trattberget,measured_avl,72.45
2025-01-01 00:00:00,trattberget,dayahead_reported,0.8
2025-01-01 01:00:00,trattberget,prod,0.96
2025-01-01 01:00:00,trattberget,measured_avl,72.45
2025-01-01 01:00:00,trattberget,dayahead_reported,0.6
2025-01-01 02:00:00,trattberget,prod,1.88
2025-01-01 02:00:00,trattberget,measured_avl,72.45
2025-01-01 02:00:00,trattberget,dayahead_reported,0.5
2025-01-01 03:00:00,trattberget,prod,4.3
2025-01-01 03:00:00,trattberget,measured_avl,72.45
2025-01-01 03:00:00,trattberget,dayahead_reported,0.5
2025-01-01 04:00:00,trattberget,prod,6.17
2025-01-01 04:00:00,trattberget,measured_avl,72.35905
2025-01-01 04:00:00,trattberget,dayahead_reported,0.4
2025-01-01 05:00:00,trattberget,prod,4.31
2025-01-01 05:00:00,trattberget,measured_avl,72.45
2025-01-01 05:00:00,trattberget,dayahead_reported,0.5
2025-01-01 06:00:00,trattberget,prod,4.01
2025-01-01 06:00:00,trattberget,measured_avl,72.45
2025-01-01 06:00:00,trattberget,dayahead_reported,1.8
2025-01-01 07:00:00,trattberget,prod,9.53
2025-01-01 07:00:00,trattberget,measured_avl,72.45
2025-01-01 07:00:00,trattberget,dayahead_reported,4.9
2025-01-01 08:00:00,trattberget,prod,13.02
2025-01-01 08:00:00,trattberget,measured_avl,72.45
2025-01-01 08:00:00,trattberget,dayahead_reported,9.4
2025-01-01 09:00:00,trattberget,prod,17.37
2025-01-01 09:00:00,trattberget,measured_avl,72.45
2025-01-01 09:00:00,trattberget,dayahead_reported,9.6
2025-01-01 10:00:00,trattberget,prod,23.58
2025-01-01 10:00:00,trattberget,measured_avl,72.45
2025-01-01 10:00:00,trattberget,dayahead_reported,11.5
2025-01-01 11:00:00,trattberget,prod,24.6
2025-01-01 11:00:00,trattberget,measured_avl,72.45
2025-01-01 11:00:00,trattberget,dayahead_reported,12.1
2025-01-01 12:00:00,trattberget,prod,33.85
2025-01-01 12:00:00,trattberget,measured_avl,72.45
2025-01-01 12:00:00,trattberget,dayahead_reported,13.6
2025-01-01 13:00:00,trattberget,prod,45.38
2025-01-01 13:00:00,trattberget,measured_avl,72.45
2025-01-01 13:00:00,trattberget,dayahead_reported,15.3
2025-01-01 14:00:00,trattberget,prod,52.16
2025-01-01 14:00:00,trattberget,measured_avl,72.45
2025-01-01 14:00:00,trattberget,dayahead_reported,14.5
2025-01-01 15:00:00,trattberget,prod,62.86
2025-01-01 15:00:00,trattberget,measured_avl,72.45
2025-01-01 15:00:00,trattberget,dayahead_reported,17.2
2025-01-01 16:00:00,trattberget,prod,69.82
2025-01-01 16:00:00,trattberget,measured_avl,72.45
2025-01-01 16:00:00,trattberget,dayahead_reported,16.2
2025-01-01 17:00:00,trattberget,prod,64.2
