"time","price_area","dayahead_settled","dayahead_predicted","replan","mFRR_CM_down_vol_predicted","prod_downreg","prod_upreg","mFRR_CM_down_vol","mFRR_CM_up_vol","spot_price","reg_price","mFRR_CM_down_price","mFRR_CM_up_price","intraday_vol_buy","intraday_vol_sell","intraday_VWAP_buy","intraday_VWAP_sell"
2025-05-24 07:00:00,SE3,NaN,-41.20915,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0
2025-05-24 06:00:00,SE3,NaN,-39.58055,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0
2025-05-24 05:00:00,SE3,NaN,-35.713497,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0
2025-05-24 04:00:00,SE3,NaN,-34.94416,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0
2025-05-24 03:00:00,SE3,NaN,-37.8339,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0
2025-05-24 02:00:00,SE3,NaN,-42.481224,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0
2025-05-24 01:00:00,SE3,NaN,-44.76963,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0
2025-05-24 00:00:00,SE3,NaN,-44.800148,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0
2025-05-23 23:00:00,SE3,NaN,-37.472748,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0
2025-05-23 22:00:00,SE3,NaN,-39.51939,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0
2025-05-23 21:00:00,SE3,NaN,-35.912956,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,10.0,36.0,0.0,0.0,0.0,0.0
2025-05-23 20:00:00,SE3,NaN,-27.163506,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,5.0,18.0,0.0,0.0,0.0,0.0
2025-05-23 19:00:00,SE3,NaN,-17.17901,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,19.0,36.0,0.0,0.0,0.0,0.0
2025-05-23 18:00:00,SE3,NaN,-21.152395,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,8.0,26.0,0.0,0.0,0.0,0.0
2025-05-23 17:00:00,SE3,NaN,-19.944307,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,12.0,26.0,0.0,0.0,0.0,0.0
2025-05-23 16:00:00,SE3,NaN,-14.670336,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,19.0,18.0,0.0,0.0,0.0,0.0
2025-05-23 15:00:00,SE3,NaN,-16.242085,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,12.0,14.0,0.0,0.0,0.0,0.0
2025-05-23 14:00:00,SE3,NaN,-20.472218,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,12.0,10.0,0.0,0.0,0.0,0.0
2025-05-23 13:00:00,SE3,NaN,-20.329773,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,19.0,14.0,0.0,0.0,0.0,0.0
2025-05-23 12:00:00,SE3,NaN,-26.958506,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,20.0,12.0,0.0,0.0,0.0,0.0
2025-05-23 11:00:00,SE3,NaN,-38.672268,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,25.0,26.0,0.0,0.0,0.0,0.0
2025-05-23 10:00:00,SE3,NaN,-33.54165,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,25.0,25.0,0.0,0.0,0.0,0.0
2025-05-23 09:00:00,SE3,NaN,-45.76394,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,27.04,35.0,0.0,0.0,0.0,0.0
2025-05-23 08:00:00,SE3,NaN,-54.82203,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,25.0,18.0,0.0,0.0,0.0,0.0
2025-05-23 07:00:00,SE3,NaN,-60.953842,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,30.0,36.0,0.0,0.0,0.0,0.0
2025-05-23 06:00:00,SE3,NaN,-60.60283,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,19.0,26.0,0.0,0.0,0.0,0.0
2025-05-23 05:00:00,SE3,NaN,-59.85362,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,19.0,26.0,0.0,0.0,0.0,0.0
2025-05-23 04:00:00,SE3,NaN,-67.03378,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,19.0,26.0,0.0,0.0,0.0,0.0
2025-05-23 03:00:00,SE3,NaN,-67.5143,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,19.0,18.0,0.0,0.0,0.0,0.0
2025-05-23 02:00:00,SE3,NaN,-65.90266,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,19.0,18.0,0.0,0.0,0.0,0.0
2025-05-23 01:00:00,SE3,NaN,-44.653095,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,19.0,18.0,0.0,0.0,0.0,0.0
2025-05-23 00:00:00,SE3,NaN,-29.051847,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,19.0,18.0,0.0,0.0,0.0,0.0
2025-05-22 23:00:00,SE3,NaN,-23.83942,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,19.0,18.0,0.0,0.0,0.0,0.0
2025-05-22 22:00:00,SE3,NaN,-25.116266,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,30.0,36.0,0.0,0.0,0.0,0.0
2025-05-22 21:00:00,SE3,47.2,-28.946215,NaN,NaN,0.0,0.0,NaN,NaN,39.22,NaN,20.0,26.0,0.0,0.0,0.0,0.0
2025-05-22 20:00:00,SE3,60.9,-33.326126,NaN,NaN,0.0,0.0,NaN,NaN,42.25,NaN,9.19,26.0,0.0,0.0,0.0,0.0
2025-05-22 19:00:00,SE3,92.5,-50.15559,NaN,NaN,0.0,0.0,NaN,NaN,42.47,NaN,28.0,48.0,0.0,0.0,0.0,0.0
2025-05-22 18:00:00,SE3,134.7,-66.43963,NaN,NaN,0.0,0.0,NaN,NaN,41.11,NaN,12.0,26.0,0.0,0.0,0.0,0.0
2025-05-22 17:00:00,SE3,145.6,-70.27317,NaN,NaN,0.0,0.0,NaN,NaN,36.93,NaN,27.0,48.0,0.0,0.0,0.0,0.0
2025-05-22 16:00:00,SE3,144.5,-75.135765,NaN,NaN,0.0,0.0,NaN,NaN,23.6,NaN,12.0,26.0,0.0,0.0,0.0,0.0
2025-05-22 15:00:00,SE3,154.5,-78.97213,NaN,NaN,0.0,0.0,NaN,NaN,7.16,NaN,28.03,36.0,0.0,0.0,0.0,0.0
2025-05-22 14:00:00,SE3,154.3,-86.97504,NaN,NaN,0.0,0.0,NaN,NaN,2.09,NaN,19.0,14.0,0.0,0.0,0.0,0.0
2025-05-22 13:00:00,SE3,147.5,-95.99927,NaN,NaN,0.0,0.0,NaN,NaN,1.94,NaN,28.0,36.0,0.0,0.0,0.0,0.0
2025-05-22 12:00:00,SE3,147.1,-97.67408,NaN,NaN,0.0,0.0,NaN,NaN,1.37,NaN,27.0,26.0,0.0,0.0,0.0,0.0
